localId,parent,numeral,name,meanRadius-km-,semi-majorAxis-km-,siderealPeriod-d-,rAkaretrograde,discoveryYear,discoveredbyNotes,Refs
01,Jupiter,I-1-,Io,1818.1±0.1,421,800,1.769,1610,Galileo,Main-groupmoon-Galilean-
02,Jupiter,II-2-,Europa,1560.7±0.7,671,100,3.551,1610,Galileo,Main-groupmoon-Galilean-
03,Jupiter,III-3-,Ganymede,2634.1±0.3,1070,400,7.155,1610,Galileo,Main-groupmoon-Galilean-
04,Jupiter,IV-4-,Callisto,2408.4±0.3,1882,700,16.69,1610,Galileo,Main-groupmoon-Galilean-
05,Jupiter,V-5-,Amalthea,83.5±2,181,400,0.498,1892,Barnard,Innermoon-Amalthea-
06,Jupiter,VI-6-,Himalia,67±1011,461,000,250.56,1904,Perrine,Progradeirregular-Himalia-
07,Jupiter,VII-7-,Elara,43,11741,000,259.64,1905,Perrine,Progradeirregular-Himalia-
08,Jupiter,VIII-8-,Pasiphae,3023,624,000,743.63-r-,1908,Melotte,Retrogradeirregular-Pasiphae-
09,Jupiter,IX-9-,Sinope,19,23939,000,758.90-r-,1914,Nicholson,Retrogradeirregular-Pasiphae-
10,Jupiter,X-10-,Lysithea,1811,717,000,259.20,1938,Nicholson,Progradeirregular-Himalia-
11,Jupiter,XI-11-,Carme,2323,404,000,734.17-r-,1938,Nicholson,Retrogradeirregular-Carme-
12,Jupiter,XII-12-,Ananke14,21,276,000,629.77-r-,1951,Nicholson,Retrogradeirregular-Ananke-
13,Jupiter,XIII-13-,Leda10,11,165,000,240.92,1974,Kowal,Progradeirregular-Himalia-
14,Jupiter,XIV-14-,Thebe,49.3±2.0,221,900,0.675,1979,Synnott-Voyager1-,Innermoon-Amalthea-
15,Jupiter,XV-15-,Adrastea,8.2±2.0,129,000,0.298,1979,Jewitt--Danielson-Voyager1-,Innermoon-Amalthea-
16,Jupiter,XVI-16-,Metis,21.5±2.0,128,000,0.295,1979,Synnott-Voyager1-,Innermoon-Amalthea-
17,Jupiter,XVII-17-,Callirrhoe,4.324,103,000,758.77-r-,2000,Scotti--Spahr--McMillan--Larsen--Montani--Gleason--Gehrels,Retrogradeirregular-Pasiphae-
18,Jupiter,XVIII-18-,Themisto,4.7,284000,130.02,1975g2000,KowalandRoemer-original-,Sheppard--Jewitt--Fernández--Magnier-rediscovery-,Progradeirregular-Themisto-
